timestamp,symbol,openInterest
2024-05-29T22:05:32.400856,1000BONKUSDC,179373333
2024-05-29T22:05:32.400856,1000BONKUSDT,2200741049
2024-05-29T22:05:32.400856,1000FLOKIUSDT,266200120
2024-05-29T22:05:32.400856,1000LUNCUSDT,167508387
2024-05-29T22:05:32.400856,1000PEPEUSDC,1228928514
2024-05-29T22:05:32.400856,1000PEPEUSDT,24598738436
2024-05-29T22:05:32.400856,1000RATSUSDT,116093487
2024-05-29T22:05:32.400856,1000SATSUSDT,78411516740
2024-05-29T22:05:32.400856,1000SHIBUSDC,104452744
2024-05-29T22:05:32.400856,1000SHIBUSDT,4805282982
2024-05-29T22:05:32.400856,1000XECUSDT,63785318
2024-05-29T22:05:32.400856,1INCHUSDT,29140363
2024-05-29T22:05:32.400856,AAVEUSDT,161902.4
2024-05-29T22:05:32.400856,ACEUSDT,1685986.26
2024-05-29T22:05:32.400856,ACHUSDT,166607362
2024-05-29T22:05:32.400856,ADAUSDT,165054653
2024-05-29T22:05:32.400856,AEVOUSDT,39069429.1
2024-05-29T22:05:32.400856,AGIXUSDT,28214998
2024-05-29T22:05:32.400856,AGLDUSDT,2108397
2024-05-29T22:05:32.400856,AIUSDT,9591013
2024-05-29T22:05:32.400856,ALGOUSDT,65215819.0
2024-05-29T22:05:32.400856,ALICEUSDT,3919784.9
2024-05-29T22:05:32.400856,ALPHAUSDT,33598896
2024-05-29T22:05:32.400856,ALTUSDT,57580247
2024-05-29T22:05:32.400856,AMBUSDT,503949006
2024-05-29T22:05:32.400856,ANKRUSDT,181990742
2024-05-29T22:05:32.400856,APEUSDT,14675810
2024-05-29T22:05:32.400856,API3USDT,2710696.0
2024-05-29T22:05:32.400856,APTUSDT,5804009.2
2024-05-29T22:05:32.400856,ARBUSDC,1307610.7
2024-05-29T22:05:32.400856,ARBUSDT,79936450.2
2024-05-29T22:05:32.400856,ARKMUSDT,10467917
2024-05-29T22:05:32.400856,ARKUSDT,6681958
2024-05-29T22:05:32.400856,ARPAUSDT,76800416
2024-05-29T22:05:32.400856,ARUSDT,1096880.3
2024-05-29T22:05:32.400856,ASTRUSDT,62759621
2024-05-29T22:05:32.400856,ATAUSDT,37925131
2024-05-29T22:05:32.400856,ATOMUSDT,4826793.25
2024-05-29T22:05:32.400856,AUCTIONUSDT,945746.25
2024-05-29T22:05:32.400856,AVAXUSDC,52065.93
2024-05-29T22:05:32.400856,AVAXUSDT,2396020
2024-05-29T22:05:32.400856,AXLUSDT,7983243.8
2024-05-29T22:05:32.400856,AXSUSDT,2439698
2024-05-29T22:05:32.400856,BADGERUSDT,1131623
2024-05-29T22:05:32.400856,BAKEUSDT,25053806
2024-05-29T22:05:32.400856,BALUSDT,1149285.2
2024-05-29T22:05:32.400856,BANDUSDT,2238796.6
2024-05-29T22:05:32.400856,BATUSDT,18083857.5
2024-05-29T22:05:32.400856,BBUSDT,60361232
2024-05-29T22:05:32.400856,BCHUSDC,7437.053
2024-05-29T22:05:32.400856,BCHUSDT,311155.846
2024-05-29T22:05:32.400856,BEAMXUSDT,375777399
2024-05-29T22:05:32.400856,BELUSDT,8444657
2024-05-29T22:05:32.400856,BICOUSDT,9040936
2024-05-29T22:05:32.400856,BIGTIMEUSDT,92676455
2024-05-29T22:05:32.400856,BLURUSDT,67713107
2024-05-29T22:05:32.400856,BLZUSDT,46317771
2024-05-29T22:05:32.400856,BNBUSDC,13775.85
2024-05-29T22:05:32.400856,BNBUSDT,416399.10
2024-05-29T22:05:32.400856,BNTUSDT,2874608
2024-05-29T22:05:32.400856,BNXUSDT,41290615.6
2024-05-29T22:05:32.400856,BOMEUSDC,142543131
2024-05-29T22:05:32.400856,BOMEUSDT,5553294256
2024-05-29T22:05:32.400856,BONDUSDT,1418454.9
2024-05-29T22:05:32.400856,BSVUSDT,97837.4
2024-05-29T22:05:32.400856,BTCDOMUSDT,2262.053
2024-05-29T22:05:32.400856,BTCUSDC,3445.942
2024-05-29T22:05:32.400856,BTCUSDT,76398.650
2024-05-29T22:05:32.400856,BTCUSDT_240628,2545.143
2024-05-29T22:05:32.400856,BTCUSDT_240927,859.874
2024-05-29T22:05:32.400856,C98USDT,24687373
2024-05-29T22:05:32.400856,CAKEUSDT,3227729
2024-05-29T22:05:32.400856,CELOUSDT,8728719.5
2024-05-29T22:05:32.400856,CELRUSDT,269545772
2024-05-29T22:05:32.400856,CFXUSDT,95032387
2024-05-29T22:05:32.400856,CHRUSDT,21324226
2024-05-29T22:05:32.400856,CHZUSDT,231644276
2024-05-29T22:05:32.400856,CKBUSDT,771819050
2024-05-29T22:05:32.400856,COMBOUSDT,4973726.7
2024-05-29T22:05:32.400856,COMPUSDT,176830.200
2024-05-29T22:05:32.400856,COTIUSDT,54597135
2024-05-29T22:05:32.400856,CRVUSDT,36181518.3
2024-05-29T22:05:32.400856,CTSIUSDT,22708992
2024-05-29T22:05:32.400856,CYBERUSDT,1186260.7
2024-05-29T22:05:32.400856,DARUSDT,20574185.0
2024-05-29T22:05:32.400856,DASHUSDT,184113.699
2024-05-29T22:05:32.400856,DEFIUSDT,965.680
2024-05-29T22:05:32.400856,DENTUSDT,3597043871
2024-05-29T22:05:32.400856,DODOXUSDT,16471365
2024-05-29T22:05:32.400856,DOGEUSDC,36854096
2024-05-29T22:05:32.400856,DOGEUSDT,1816340142
2024-05-29T22:05:32.400856,DOTUSDT,8733992.3
2024-05-29T22:05:32.400856,DUSKUSDT,20325247
2024-05-29T22:05:32.400856,DYDXUSDT,18458715.7
2024-05-29T22:05:32.400856,DYMUSDT,4111733.0
2024-05-29T22:05:32.400856,EDUUSDT,13821761
2024-05-29T22:05:32.400856,EGLDUSDT,234033.5
2024-05-29T22:05:32.400856,ENAUSDC,2653618
2024-05-29T22:05:32.400856,ENAUSDT,113669400
2024-05-29T22:05:32.400856,ENJUSDT,29699158
2024-05-29T22:05:32.400856,ENSUSDT,1349975.4
2024-05-29T22:05:32.400856,EOSUSDT,29520549.7
2024-05-29T22:05:32.400856,ETCUSDT,2564820.79
2024-05-29T22:05:32.400856,ETHBTC,147168.44
2024-05-29T22:05:32.400856,ETHFIUSDC,309757.3
2024-05-29T22:05:32.400856,ETHFIUSDT,12590040.4
2024-05-29T22:05:32.400856,ETHUSDC,34818.177
2024-05-29T22:05:32.400856,ETHUSDT,1138793.516
